year,avg_cpi,avg_ppi
1974,13.61,11.47
1975,8.56,0.77
1976,2.32,-3.31
1977,6.77,0.82
1978,11.22,12.78
1979,10.29,11.82
1980,7.38,3.56
1981,7.87,3.3
1982,3.43,-2.75
1983,1.04,2.09
1984,5.01,3.98
1985,0.92,-7.31
1986,3.55,-2.04
1987,5.14,1.18
1988,4.19,8.75
1989,7.0,7.04
1990,6.57,0.88
1991,3.17,-4.72
1992,-0.27,-0.64
1993,2.84,3.98
1994,2.62,-0.26
1995,3.75,2.2
1996,4.03,9.76
1997,2.37,-4.17
1998,1.87,-3.99
1999,1.45,-4.73
2000,2.39,1.04
2001,3.49,4.23
2002,1.66,-0.65
2003,2.89,11.16
2004,4.34,9.95
2005,1.69,-2.93
2006,2.33,0.24
2007,4.96,21.78
2008,6.23,14.1
2009,-0.18,-14.93
2010,0.86,8.79
2011,5.48,16.3
2012,2.29,1.31
2013,1.42,3.25
2014,3.43,6.49
2015,1.8,-7.01
2016,-1.9,-8.51
2017,-0.36,4.16
2018,1.05,0.66
2019,0.66,-1.04
2020,3.77,2.14
2021,4.3,18.01
2022,11.43,28.88
2023,4.1,-7.31
2024,1.75,1.38
2025,3.34,3.06
